CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (hPa),Temperatura (C),Fecha
954.374,47.993,52.298,0,18.005,5.792,0,59.205,0,86.172,-12.054722,-77.029724,99543.762,22.928,19/03/2020 00:00:00
928.197,41.514,48.614,0,17.895,5.689,0,60.2,0,87.17,-12.054722,-77.029724,99521.71,22.732,19/03/2020 01:00:00
903.571,35.741,45.275,0,15.759,5.584,0,53.191,0,87.252,-12.0547220000001,-77.029724,99453.389,22.833,19/03/2020 02:00:00
893.162,33.265,47.311,0,14.862,5.238,0,54.428,0,90.171,-12.0547220000001,-77.029724,99415.099,22.539,19/03/2020 03:00:00
880.561,29.129,45.943,0,13.51,4.901,0,53.925,0,92.292,-12.054722,-77.029724,99398.6,22.163,19/03/2020 04:00:00
868.256,26.563,45.014,0,11.102,4.632,0,53.078,0,92.907,-12.0547220000001,-77.029724,99389.548,22.028,19/03/2020 05:00:00
875.29,24.642,44.137,0,11.957,5.017,0,52.874,0,93.684,-12.0547220000001,-77.029724,99417.067,21.943,19/03/2020 06:00:00
923.363,22.137,43.287,0,8.902,3.834,0,53.565,0.318,92.764,-12.054722,-77.029724,99481.771,22.102,19/03/2020 07:00:00
876.229,9.256,9.408,0,6.758,2.672,0,54.268,2.498,82.115,-12.054722,-77.029724,99563.936,24.287,19/03/2020 08:00:00
691.633,1.034,0,87.943,7.14,2.801,0,53.898,4.986,66.789,-12.0547220000001,-77.029724,99596.752,28.062,19/03/2020 09:00:00
586.975,1.98,0,264.663,4.894,2.135,0,55.512,5.853,61.382,-12.0547220000001,-77.029724,99587.674,29.382,19/03/2020 10:00:00
678.695,12.127,0,148.047,5.87,2.295,0,58.478,6.262,63.063,-12.054722,-77.029724,99588.617,28.554,19/03/2020 11:00:00
849.278,23.96,4.034,98.148,6.667,2.495,0,58.361,5.018,62.84,-12.054722,-77.029724,99572.815,28.695,19/03/2020 12:00:00
891.958,38.308,3.196,92.34,7.684,2.713,0,64.382,3.082,59.501,-12.054722,-77.029724,99517.015,29.888,19/03/2020 13:00:00
867.142,36.402,0.235,81.368,7.731,2.791,0,60.861,0.574,59.748,-12.0547220000001,-77.029724,99446.64,29.905,19/03/2020 14:00:00
872.871,51.925,5.79,58.53,7.218,2.6,0,64.201,0.433,60.59,-12.054722,-77.029724,99382.904,29.599,19/03/2020 15:00:00
955.135,46.287,21.809,16.793,8.503,2.936,0,65.054,0.827,58.754,-12.0547220000001,-77.029724,99372.777,30.01,19/03/2020 16:00:00
957.135,122.982,26.857,48.181,10.465,3.504,0,64.603,0.592,64.855,-12.054722,-77.029724,99358.402,27.959,19/03/2020 17:00:00
1024.311,120.341,53.813,6.722,12.895,4.301,0,60.289,0.276,71.143,-12.0547220000001,-77.029724,99352.079,25.904,19/03/2020 18:00:00
1043.296,108.142,66.839,0,13.288,4.569,0,58.853,0,77.253,-12.054722,-77.029724,99397.863,24.405,19/03/2020 19:00:00
1035.777,86.417,68.153,0,11.649,4.343,0,58.264,0,81.734,-12.054722,-77.029724,99456.825,23.547,19/03/2020 20:00:00
982.53,68.482,60.443,0,11.192,4.167,0,59.947,0,82.921,-12.0547220000001,-77.029724,99478.085,23.222,19/03/2020 21:00:00
939.452,53.593,51.243,0,11.465,4.451,0,56.499,0,82.126,-12.0547220000001,-77.029724,99520.766,23.224,19/03/2020 22:00:00
919.779,44.532,49.504,0,16.735,6.11,0,54.719,0,84.183,-12.054722,-77.029724,99546.004,22.95,19/03/2020 23:00:00
917.709,44.346,54.721,0,16.526,6.323,0,55.412,0,89.984,-12.054722,-77.029724,99527.055,22.378,20/03/2020 00:00:00
909.075,39.312,51.689,0,15.775,6.008,0,54.258,0,92.945,-12.054722,-77.029724,99519.338,21.93,20/03/2020 01:00:00
896.825,35.588,48.31,0,13.443,5.44,0,52.945,0,93.244,-12.054722,-77.029724,99479.119,21.884,20/03/2020 02:00:00
878.827,28.819,44.778,0,16.369,5.723,0,52.065,0,92.096,-12.054722,-77.029724,99448.25,22.058,20/03/2020 03:00:00
852.685,24.593,41.258,0,8.345,3.225,0,52.142,0,91.896,-12.054722,-77.029724,99418.787,22.091,20/03/2020 04:00:00
843.7,21.257,39.6,0,5.631,2.444,0,52.213,0,92.167,-12.054722,-77.029724,99428.172,22.121,20/03/2020 05:00:00
861.254,23.107,43.111,0,8.148,3.074,0,52.631,0,93.907,-12.0547220000001,-77.029724,99456.123,22.164,20/03/2020 06:00:00
894.999,21.268,40.073,0,10.148,3.192,0,52.805,0.042,91.221,-12.0547220000001,-77.029724,99485.868,22.513,20/03/2020 07:00:00
924.332,16.904,34.352,0,8.292,2.971,0,53.075,0.429,86.971,-12.054722,-77.029724,99529.684,23.46,20/03/2020 08:00:00
974.713,15.441,14.355,0,8.109,2.693,0,53.194,0.91,80.281,-12.054722,-77.029724,99566.13,24.854,20/03/2020 09:00:00
950.446,7.863,0.497,0,7.472,2.295,0,52.567,1.209,76.495,-12.054722,-77.029724,99572.988,25.717,20/03/2020 10:00:00
779.898,2.658,0.748,20.083,9.068,2.837,0,53.453,2.155,65.927,-12.0547220000001,-77.029724,99532.318,27.959,20/03/2020 11:00:00
795.755,10.612,0,77.705,6.788,2.32,0,54.607,2.624,61.75,-12.0547220000001,-77.029724,99467.13,29.302,20/03/2020 12:00:00
742.681,26.482,0,118.958,6.058,2.106,0,57.168,2.619,59.31,-12.0547220000001,-77.029724,99365.016,30.088,20/03/2020 13:00:00
821.652,46.623,0,136.708,6.842,1.751,0,59.653,1.074,59.961,-12.054722,-77.029724,99294.336,29.694,20/03/2020 14:00:00
882.67,73.21,3.714,69.041,4.18,1.774,0,62.409,0.984,67.036,-12.054722,-77.029724,99311.725,28.126,20/03/2020 15:00:00
1054.173,93.566,22.024,24.336,7.94,2.982,0,54.676,1.373,69.641,-12.054722,-77.029724,99303.52,27.273,20/03/2020 16:00:00
1007.02,131.142,32.198,23.612,10.353,3.567,0,57.216,0.783,73.114,-12.0547220000001,-77.029724,99312.214,26.259,20/03/2020 17:00:00
1103.217,105.331,63.176,0,11.939,3.923,0,53.353,0.317,76.66,-12.054722,-77.029724,99365.647,25.4,20/03/2020 18:00:00
1068.731,98.299,58.389,0,11.003,3.676,0,52.445,0.009,76.549,-12.054722,-77.029724,99428.534,24.979,20/03/2020 19:00:00
1050.378,76.636,55.795,0,19.678,6.576,0,55.535,0,75.394,-12.0547220000001,-77.029724,99501.068,24.922,20/03/2020 20:00:00
1032.968,73.77,57.998,0,23.814,7.468,0,53.418,0,83.262,-12.054722,-77.029724,99564.46,23.868,20/03/2020 21:00:00
998.316,59.277,57.777,0,11.718,5.026,0,53.58,0,89.206,-12.0547220000001,-77.029724,99638.331,22.849,20/03/2020 22:00:00
952.045,49.52,46.827,0,13.419,5.269,0,51.832,0,85.561,-12.054722,-77.029724,99636.811,23.463,20/03/2020 23:00:00
924.518,40.045,39.478,0,25.511,7.331,0,52.172,0,83.824,-12.054722,-77.029724,99612.082,23.727,21/03/2020 00:00:00
920.154,36.428,39.502,0,14.569,4.94,0,52.187,0,84.717,-12.054722,-77.029724,99579.738,23.554,21/03/2020 01:00:00
911.189,33.041,41.128,0,12.623,4.798,0,53.545,0,87.223,-12.054722,-77.029724,99525.874,23.021,21/03/2020 02:00:00
907.934,31.841,40.186,0,12.943,5.093,0,52.208,0,85.908,-12.054722,-77.029724,99449.878,23.288,21/03/2020 03:00:00
921.402,30.733,38.896,0,27.216,7.965,0,52.326,0,83.626,-12.054722,-77.029724,99394.233,23.721,21/03/2020 04:00:00
908.036,32.083,40.115,0,11.802,4.897,0,55.83,0,88.093,-12.054722,-77.029724,99376.661,22.956,21/03/2020 05:00:00
900.042,29.263,40.904,0,15.79,6.497,0,52.18,0,87.47,-12.054722,-77.029724,99363.843,22.668,21/03/2020 06:00:00
1034.834,32.903,44.982,0,10.105,3.958,0,52.782,0.285,86.491,-12.054722,-77.029724,99394.546,22.857,21/03/2020 07:00:00
1010.625,13.562,14.508,2.451,8.013,2.387,0,52.708,2.864,72.449,-12.054722,-77.029724,99459.153,25.942,21/03/2020 08:00:00
665.391,0,0,203.809,6.767,2.283,0,54.032,5.259,55.516,-12.0547220000001,-77.029724,99502.588,30.233,21/03/2020 09:00:00
473.775,0.062,0,386.668,8.963,3.007,0,54.108,5.771,48.823,-12.054722,-77.029724,99479.949,32.053,21/03/2020 10:00:00
650.79,15.646,0,391.417,7.98,2.81,0,57.665,6.088,49.645,-12.0547220000001,-77.029724,99424.994,31.99,21/03/2020 11:00:00
852.085,38.05,0,272.827,5.212,1.831,0,56.792,5.604,51.951,-12.054722,-77.029724,99383.504,31.37,21/03/2020 12:00:00
846.6,34.741,0,220.186,4.517,1.659,0,59.756,2.878,49.132,-12.0547220000001,-77.029724,99324.622,31.927,21/03/2020 13:00:00
1015.985,76.448,0.969,159.9,5.266,1.775,0,64.076,1.018,49.384,-12.054722,-77.029724,99289.385,31.648,21/03/2020 14:00:00
902.986,54.651,0.433,109.029,9.279,2.629,0,61.574,0.742,49.239,-12.054722,-77.029724,99268.864,31.675,21/03/2020 15:00:00
1108.707,134.107,19.088,82.456,6.871,2.419,0,65.846,0.948,55.347,-12.054722,-77.029724,99298.665,29.973,21/03/2020 16:00:00
1038.43,120.769,20.541,50.538,11.175,3.438,0,56.17,0.847,54.699,-12.0547220000001,-77.029724,99317.398,29.289,21/03/2020 17:00:00
1125.126,155.063,47.006,30.325,10.166,3.33,0.009,55.738,0.179,62.39,-12.054722,-77.029724,99363.615,27.343,21/03/2020 18:00:00
1140.867,116.848,62.626,0.98,11.412,3.462,0,58.533,0,66.787,-12.054722,-77.029724,99436.793,25.785,21/03/2020 19:00:00
1080.956,91.717,55.167,0,13.098,3.745,0,58.521,0,66.082,-12.054722,-77.029724,99493.316,25.583,21/03/2020 20:00:00
1060.84,70.43,47.758,0,11.785,3.708,0,57.098,0,65.771,-12.0547220000001,-77.029724,99537.661,25.542,21/03/2020 21:00:00
1009.088,60.902,43.448,0,11.32,3.836,0,58.274,0,66.907,-12.0547220000001,-77.029724,99588.962,25.223,21/03/2020 22:00:00
997.775,55.021,47.765,0,9.469,3.372,0,55.129,0,71.969,-12.054722,-77.029724,99591.86,24.578,21/03/2020 23:00:00
951.098,43.192,38.197,0,9.625,3.336,0,52.725,0,68.924,-12.054722,-77.029724,99541.046,24.861,22/03/2020 00:00:00
932.475,35.12,32.818,0,9.463,3.285,0,53.141,0,67.952,-12.054722,-77.029724,99479.056,24.853,22/03/2020 01:00:00
907.952,25.792,27.761,0,8.784,3.031,0,53.154,0,66.021,-12.054722,-77.029724,99419.982,24.791,22/03/2020 02:00:00
877.697,20.982,24.72,0,8.712,3.131,0,54.11,0,64.225,-12.054722,-77.029724,99357.764,24.753,22/03/2020 03:00:00
889.317,23.356,27.583,0,9.335,3.375,0,60.382,0,64.877,-12.054722,-77.029724,99342.726,24.482,22/03/2020 04:00:00
888.043,23.494,28.621,0,7.956,2.739,0,52.927,0,65,-12.054722,-77.029724,99353.014,24.559,22/03/2020 05:00:00
895.025,22.855,25.246,0,9.186,2.867,0,54.91,0,63.31,-12.0547220000001,-77.029724,99372.903,24.714,22/03/2020 06:00:00
943.606,22.179,27.688,0,14.424,3.599,0,55.081,0.089,61.937,-12.054722,-77.029724,99407.54,24.849,22/03/2020 07:00:00
1014.395,20.054,22.874,0,12.376,3.143,0,53.538,0.727,59.171,-12.0547220000001,-77.029724,99437.673,25.928,22/03/2020 08:00:00
855.117,2.609,0.902,43.744,9.151,2.504,0,61.633,3.674,50.521,-12.054722,-77.029724,99484.815,29.165,22/03/2020 09:00:00
675.711,3.057,0,164.948,8.985,2.531,0,64.538,5.263,44.968,-12.0547220000001,-77.029724,99495.647,31.323,22/03/2020 10:00:00
659.083,3.179,0,234.292,6.982,2.265,0,57.241,5.05,44.369,-12.054722,-77.029724,99466.243,31.995,22/03/2020 11:00:00
718.215,43.25,0,264.835,7.779,2.111,0,66.634,5.669,44.555,-12.0547220000001,-77.029724,99421.078,32.09,22/03/2020 12:00:00
809.673,21.147,0,188.675,9.304,2.26,0,62.736,2.784,41.717,-12.054722,-77.029724,99360.944,32.527,22/03/2020 13:00:00
961.239,106.996,2.751,200.607,4.422,1.658,0,67.358,0.636,50.581,-12.054722,-77.029724,99317.161,30.894,22/03/2020 14:00:00
1042.413,72.142,9.968,71.976,4.18,1.587,0,65.373,0.641,51.06,-12.054722,-77.029724,99294.455,30.858,22/03/2020 15:00:00
854.799,63.148,0.151,110.228,5.243,1.882,0,57.429,0.916,48.663,-12.054722,-77.029724,99270.94,31.261,22/03/2020 16:00:00
935.509,121.764,1.221,101.719,7.195,2.334,0,57.879,0.848,51.636,-12.0547220000001,-77.029724,99295.159,29.668,22/03/2020 17:00:00
1109.567,160.369,42.864,45.899,8.113,2.435,0,59.966,0.161,58.636,-12.054722,-77.029724,99329.706,26.595,22/03/2020 18:00:00
1071.293,122.542,54.499,1.354,11.22,3.03,0,60.911,0,60.495,-12.054722,-77.029724,99372.43,25.741,22/03/2020 19:00:00
1099.248,92.826,55.779,0,7.612,2.244,0,62.454,0,63.701,-12.054722,-77.029724,99401.509,25.133,22/03/2020 20:00:00
971.784,56.584,34.717,0,6.187,2.021,0,58.459,0,58.608,-12.054722,-77.029724,99438.816,25.555,22/03/2020 21:00:00
908.215,32.319,22.512,0,5.471,1.653,0,62.133,0,54.937,-12.054722,-77.029724,99487.633,25.832,22/03/2020 22:00:00
876.133,22.165,17.089,0.019,10.461,2.871,0,59.417,0,52.814,-12.054722,-77.029724,99523.794,25.977,22/03/2020 23:00:00
915.721,40.797,31.45,0.111,13.534,3.91,0,55.265,0,56.879,-12.0547220000001,-77.029724,99497.672,25.706,23/03/2020 00:00:00
980.114,62.539,48.344,0,13.703,4.502,0,54.797,0,64.033,-12.054722,-77.029724,99435.948,25.211,23/03/2020 01:00:00
1029.507,83.047,63.195,0,15.514,5.516,0,56.762,0,76.623,-12.0547220000001,-77.029724,99400.854,23.639,23/03/2020 02:00:00
1018.747,74.522,64.883,0,14.282,4.992,0,54.036,0,82.156,-12.054722,-77.029724,99380.106,23.033,23/03/2020 03:00:00
952.802,56.102,50.3,0,12.319,4.247,0,52.44,0,79.684,-12.054722,-77.029724,99384.647,23.367,23/03/2020 04:00:00
913.029,34.41,37.976,0,12.811,4.22,0,52.183,0,75.126,-12.054722,-77.029724,99395.082,23.731,23/03/2020 05:00:00
953.577,26.867,32.423,0,19.248,4.368,0,52.583,0,72.2,-12.0547220000001,-77.029724,99415.359,24.111,23/03/2020 06:00:00
1373.682,37.612,34.846,0,10.753,3.103,0,53.032,1.059,65.978,-12.0547220000001,-77.029724,99451.855,25.475,23/03/2020 07:00:00
927.883,0.374,0.782,182.539,7.289,2.32,0,53.398,5.03,46.549,-12.054722,-77.029724,99498.999,31.893,23/03/2020 08:00:00
640.897,0.065,0,568.35,4.493,1.359,0,57.013,5.342,42.041,-12.054722,-77.029724,99517.024,32.791,23/03/2020 09:00:00
