CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (hPa),Temperatura (C),Fecha
0,11.599,326.778,2552.624,40.63,9.833,0,61.396,0,89.903,-12.0466680000001,-77.0802760000005,100542.105,22.699,19/03/2020 00:00:00
0,8.079,328.256,2553.997,41.136,10.428,0,58.295,0,91.14,-12.0466680000001,-77.0802760000005,100521.322,22.59,19/03/2020 01:00:00
0,8.01,321.393,2527.958,35.695,9.971,0,55.173,0,92.719,-12.0466680000001,-77.0802760000005,100458.981,22.503,19/03/2020 02:00:00
0,5.642,329.164,2537.932,28.1,8.936,0,55.931,0,95.68,-12.0466680000001,-77.0802760000005,100422.411,21.993,19/03/2020 03:00:00
0,2.629,325.729,2527.023,30.032,9.98,0,54.85,0,95.837,-12.0466680000001,-77.0802760000005,100403.205,21.951,19/03/2020 04:00:00
0,2.066,322.484,2524.181,27.298,9.634,0,54.472,0,94.805,-12.0466680000001,-77.0802760000005,100390.458,22.087,19/03/2020 05:00:00
0,3.207,325.934,2381.812,41.42,11.869,0,59.626,0,94.698,-12.0466680000001,-77.0802760000005,100421.41,21.981,19/03/2020 06:00:00
0,9.514,329.443,2474.388,28.896,9.227,0,60.529,0.049,94.981,-12.0466680000001,-77.0802760000005,100486.706,22.049,19/03/2020 07:00:00
0,6.287,296.66,2449.139,20.298,6.979,0,62.032,0.553,90.174,-12.0466680000001,-77.0802760000005,100573.335,22.896,19/03/2020 08:00:00
0,0.351,155.666,2291.132,13.818,5.069,0,62.163,2.08,79.596,-12.0466680000001,-77.0802760000005,100607.953,25.277,19/03/2020 09:00:00
0,0.029,58.608,3232.218,18.17,5.108,0,64.96,2.583,70.638,-12.0466680000001,-77.0802760000005,100607.531,27.16,19/03/2020 10:00:00
0,1.341,168.903,3030.061,23.493,5.565,0.002,66.16,2.086,72.102,-12.0466680000001,-77.0802760000005,100607.444,26.513,19/03/2020 11:00:00
1.625,2.698,219.704,2355.776,34.014,6.597,0,66.42,2.24,71.999,-12.0466680000001,-77.0802760000005,100588.895,26.676,19/03/2020 12:00:00
0,6.948,203.819,3119.149,17.87,5.36,0,67.125,1.747,70.134,-12.0466680000001,-77.0802760000005,100532.338,27.292,19/03/2020 13:00:00
0,8.895,239.857,2985.538,44.16,7.387,0,67.217,1.459,70.144,-12.0466680000001,-77.0802760000005,100466.572,27.272,19/03/2020 14:00:00
21.489,8.617,253.529,2874.189,38.917,6.794,0,67.635,0.477,73.214,-12.0466680000001,-77.0802760000005,100399.129,26.415,19/03/2020 15:00:00
9.753,14.876,240.723,3049.698,25.502,6.637,0.682,67.331,1.096,73.046,-12.0466680000001,-77.0802760000005,100389.701,26.314,19/03/2020 16:00:00
0,40.021,274.685,2069.267,25.894,7.052,0,66.275,0.74,77.622,-12.0466680000001,-77.0802760000005,100368.814,25.237,19/03/2020 17:00:00
27.628,49.091,316.844,0,28.912,7.504,0,63.223,0.363,79.74,-12.0466680000001,-77.0802760000005,100359.83,24.575,19/03/2020 18:00:00
0,41.739,344.437,0,30.109,7.853,0,65.545,0,83.312,-12.0466680000001,-77.0802760000005,100403.59,23.691,19/03/2020 19:00:00
0,33.381,354.443,0,34.05,8.538,0,65.407,0,86.123,-12.0466680000001,-77.0802760000005,100455.437,23.304,19/03/2020 20:00:00
0,22.502,344.074,0,34.037,8.722,0,60.084,0,85.832,-12.0466680000001,-77.0802760000005,100479.001,23.216,19/03/2020 21:00:00
0,15.387,342.362,0,34.453,9.328,0,61.438,0,86.238,-12.0466680000001,-77.0802760000005,100521.349,23.058,19/03/2020 22:00:00
0,16.065,348.124,0,33.816,9.893,0,63.034,0,89.768,-12.0466680000001,-77.0802760000005,100547.072,22.724,19/03/2020 23:00:00
0,13.75,358.294,0,32.046,8.791,0,59.977,0,94.965,-12.0466680000001,-77.0802760000005,100537.832,21.917,20/03/2020 00:00:00
0,11.158,350.61,0,20.817,6.67,0,60.77,0,94.529,-12.0466680000001,-77.0802760000005,100521.601,21.985,20/03/2020 01:00:00
0,6.844,343.753,0,28.227,8.417,0,63.427,0,93.199,-12.0466680000001,-77.0802760000005,100486.448,21.994,20/03/2020 02:00:00
0,5.093,343.61,0,16.35,5.46,0,61.573,0,93.883,-12.0466680000001,-77.0802760000005,100457.922,21.878,20/03/2020 03:00:00
0,5.627,342.528,0,9.25,3.647,0,59.289,0,94.158,-12.0466680000001,-77.0802760000005,100424.995,21.92,20/03/2020 04:00:00
0,6.288,346.95,0,9.095,3.914,0,62.447,0,96.171,-12.0466680000001,-77.0802760000005,100434.513,22.057,20/03/2020 05:00:00
0,12.021,343.885,0,12.295,3.938,0,62.137,0,94.455,-12.0466680000001,-77.0802760000005,100457.326,22.492,20/03/2020 06:00:00
20.373,15.782,344.109,0,13.549,3.629,0,62.648,0.028,94.192,-12.0466680000001,-77.0802760000005,100488.167,22.477,20/03/2020 07:00:00
5.417,10.173,323.671,0,15.039,4.364,0,64.795,0.525,90.539,-12.0466680000001,-77.0802760000005,100533.426,23.151,20/03/2020 08:00:00
25.861,6.701,265.556,0,19.318,4.977,0,63.676,0.971,83.939,-12.0466680000001,-77.0802760000005,100574.637,24.556,20/03/2020 09:00:00
389.881,18.628,226.571,0,27.668,5.715,6.991,63.937,1.388,77.947,-12.0466680000001,-77.0802760000005,100574.1,25.868,20/03/2020 10:00:00
17.401,3.807,144.264,11.374,23.052,5.12,0,63.853,2.452,66.202,-12.0466680000001,-77.0802760000005,100528.624,28.867,20/03/2020 11:00:00
