CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (hPa),Temperatura (C),Fecha
2312.049,20.275,23.749,45.761,31.96,13.684,29.092,105.162,1.274,80.209,-12.083889,-76.9894400000003,99731.744,18.385,26/08/2020 13:00:00
2594.46,22.362,24.707,65.933,34.158,15.663,28.338,107.255,0.944,81.58,-12.0838889999997,-76.9894399999992,99672.198,18.048,26/08/2020 14:00:00
2217.55,17.863,27.782,59.3,45.935,15.4,20.609,106.04,0.532,88.028,-12.0838889999997,-76.989439999999,99618.411,16.837,26/08/2020 15:00:00
2199.905,20.935,27.492,40.827,26.233,10.084,18.766,102.73,0.479,86.204,-12.0838889999997,-76.9894399999992,99593.377,16.848,26/08/2020 16:00:00
2523.187,22.833,26.278,26.159,33.591,9.544,22.729,103.08,0.223,85.779,-12.0838889999997,-76.9894399999991,99588.417,16.766,26/08/2020 17:00:00
2917.587,24.144,29.473,31.689,45.573,12.405,21.741,104.278,0.04,88.19,-12.0838889999997,-76.9894399999991,99616.517,16.412,26/08/2020 18:00:00
2582.851,21.722,29.661,26.237,48.069,13.265,19.526,102.147,0,90.582,-12.0838889999997,-76.9894399999991,99678.371,16.047,26/08/2020 19:00:00
1700.555,14.34,27.875,12.524,63.355,16.792,11.21,99.117,0,91.864,-12.0838889999997,-76.9894399999991,99736.72,15.915,26/08/2020 20:00:00
1328.076,11.132,27.078,6.016,64.033,24.576,7.365,97.043,0,94.344,-12.0838889999997,-76.9894399999992,99778.427,15.607,26/08/2020 21:00:00
896.136,8.156,25.603,2.533,62.53,27.755,3.99,89.453,0,94.196,-12.0838889999997,-76.9894399999991,99805.127,15.534,26/08/2020 22:00:00
761.612,7.108,24.961,0.585,65.84,35.627,3.465,78.532,0,93.998,-12.0838889999997,-76.9894399999992,99836.084,15.598,26/08/2020 23:00:00
614.107,5.433,23.089,0.269,54.423,28.362,2.803,71.217,0,94.238,-12.0838889999997,-76.9894399999991,99831.514,15.562,27/08/2020 00:00:00
564.125,3.707,22.829,6.784,71.198,23.236,1.605,80.756,0,96.608,-12.0838889999997,-76.9894399999992,99806.616,15.141,27/08/2020 01:00:00
364.215,1.628,22.17,10.347,70.106,21.376,0.001,81.344,0,96.8,-12.0838889999997,-76.989439999999,99767.28,14.699,27/08/2020 02:00:00
336.647,2.535,21.702,7.732,54.04,16.02,0,79.268,0,96.8,-12.0838889999997,-76.9894399999992,99718.792,14.661,27/08/2020 03:00:00
400.11,2.815,21.708,5.846,43.705,11.696,0.196,76.708,0,96.8,-12.0838889999997,-76.9894399999991,99708.641,14.543,27/08/2020 04:00:00
511.183,4.304,22.39,2.765,38.872,11.969,0.778,76.829,0,96.8,-12.0838889999997,-76.9894399999992,99708.299,14.539,27/08/2020 05:00:00
803.896,6.842,23.853,3.966,39.952,11.895,4.019,83.736,0,96.8,-12.0838889999997,-76.9894399999991,99753.743,14.62,27/08/2020 06:00:00
1054.297,9.515,26.503,4.184,43.775,13.346,6.398,96.401,0,96.8,-12.0838889999997,-76.9894399999992,99820.507,14.81,27/08/2020 07:00:00
1398.379,13.662,26.723,4.503,45.76,16.202,10.137,89.695,0.114,95.519,-12.0838889999997,-76.9894399999991,99874.323,15.442,27/08/2020 08:00:00
1754.354,18.619,26.065,14.902,60.989,21.067,16.712,93.968,0.393,91.459,-12.0838889999997,-76.989439999999,99905.951,16.179,27/08/2020 09:00:00
1910.088,21.449,24.178,10.298,50.51,22.522,22.579,96.725,0.811,84.563,-12.0838889999997,-76.9894399999992,99950.284,17.397,27/08/2020 10:00:00
1837.554,19.911,21.344,21.56,38.239,16.375,27.062,92.689,1.299,79.807,-12.0838889999997,-76.9894399999991,99945.843,18.275,27/08/2020 11:00:00
1900.585,19.109,20.779,44.47,35.351,16.426,31.824,104.994,1.315,78.218,-12.0838889999997,-76.9894399999991,99911.823,18.544,27/08/2020 12:00:00
2345,17.376,25.191,57.126,40.954,24.032,26.652,105.772,0.858,81.164,-12.0838889999997,-76.9894399999991,99881.897,17.736,27/08/2020 13:00:00
2406.428,16.834,28.472,65.833,43.866,26.293,19.289,104.773,0.58,83.645,-12.0838889999997,-76.9894399999992,99853.091,16.971,27/08/2020 14:00:00
2250.6,16.545,30.143,81.595,45.973,28.188,15.232,101.809,0.431,85.177,-12.0838889999997,-76.989439999999,99819.731,16.642,27/08/2020 15:00:00
2180.951,16.804,31.447,66.708,34.013,17.557,13.574,97.042,0.178,89.432,-12.0838889999997,-76.989439999999,99788.718,16.175,27/08/2020 16:00:00
2122.327,18.091,29.178,34.858,25.779,8.647,15.21,101.509,0.071,92.641,-12.0838889999997,-76.9894399999992,99824.145,15.654,27/08/2020 17:00:00
2393.916,22.136,27.995,19.672,27.505,7.569,19.232,99.215,0,89.56,-12.0838889999997,-76.989439999999,99867.494,15.729,27/08/2020 18:00:00
2364.783,21.611,28.215,15.678,37.154,9.659,19.125,101.555,0,90.992,-12.0838889999997,-76.9894399999992,99941.771,15.583,27/08/2020 19:00:00
1995.401,17.131,27.82,14.235,37.966,9.578,14.735,97.697,0,92.146,-12.0838889999997,-76.989439999999,100003.73,15.469,27/08/2020 20:00:00
1421.173,12.438,26.534,9.264,33.7,8.833,9.151,93.531,0,92.533,-12.0838889999997,-76.9894399999992,100063.231,15.411,27/08/2020 21:00:00
1009.197,8.666,24.902,3.317,30.897,8.402,5.931,85.208,0,92.369,-12.0838889999997,-76.9894399999992,100086.16,15.424,27/08/2020 22:00:00
724.918,5.658,23.677,6.322,29.283,8.419,3.912,77.363,0,92.3,-12.0838889999997,-76.9894399999992,100063.396,15.373,27/08/2020 23:00:00
471.496,2.568,21.987,6.686,32.289,9.372,1.812,78.356,0,93.067,-12.0838889999997,-76.989439999999,100047.788,15.269,28/08/2020 00:00:00
598.121,4.082,24.039,3.647,30.661,12.511,2.592,72.427,0,92.022,-12.0838889999997,-76.9894399999991,100014.545,15.386,28/08/2020 01:00:00
707.527,4.877,25.66,4.974,32.14,13.238,3.329,75.958,0,92.118,-12.0838889999997,-76.9894399999992,99947.62,15.347,28/08/2020 02:00:00
607.845,3.906,26.596,8.004,38.94,17.132,2.034,78.413,0,92.817,-12.0838889999997,-76.9894399999991,99880.478,15.158,28/08/2020 03:00:00
622.76,4.711,25.423,3.088,49.917,24.147,3.072,80.16,0,93.525,-12.0838889999997,-76.9894399999992,99836.782,15.016,28/08/2020 04:00:00
729.929,6.118,26.629,4.081,56.015,27.64,3.92,82.659,0,93.506,-12.0838889999997,-76.9894399999992,99828.196,15.041,28/08/2020 05:00:00
985.825,8.818,27.121,2.724,57.702,30.862,6.862,85.671,0,93.14,-12.0838889999997,-76.9894399999991,99862.423,15.12,28/08/2020 06:00:00
1259.719,11.756,27.305,4.74,63.941,32.597,10.232,91.101,0,92.917,-12.0838889999997,-76.9894399999992,99946.998,15.158,28/08/2020 07:00:00
1053.107,10.422,25.754,1.741,51.1,27.936,9.068,98.347,0.014,93.029,-12.0838889999997,-76.989439999999,100060.094,15.117,28/08/2020 08:00:00
1512.115,15.761,25.77,4.013,52.161,27.366,14.204,92.217,0.17,90.267,-12.0838889999997,-76.9894399999992,100097.495,15.703,28/08/2020 09:00:00
1708.922,17.442,26.455,12.384,62.014,27.235,16.897,92.835,0.386,90.074,-12.0838889999997,-76.9894399999991,100120.278,15.961,28/08/2020 10:00:00
1932.506,20.821,24.207,9.377,73.209,35.062,22.682,91.745,0.603,87.181,-12.0838889999997,-76.9894399999991,100106.472,16.755,28/08/2020 11:00:00
2304.049,22.429,24.309,15.198,77.91,36.08,25.678,101.412,1.154,85.395,-12.0838889999997,-76.9894399999991,100053.489,17.327,28/08/2020 12:00:00
