CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (hPa),Temperatura (C),Fecha
614.828,20.732,148.233,0,47.562,15.42,7.786,98.736,0,90.479,-12.0727360000001,-77.0826870000006,100062.552,15.275,10/07/2020 22:00:00
453.09,9.079,149.344,0,39.871,16.053,3.317,87.625,0,91.151,-12.0727360000001,-77.0826870000006,100084.763,15.098,10/07/2020 23:00:00
476.493,10.801,150.899,0,34.467,14.664,3.981,84.369,0,91.101,-12.0727360000001,-77.0826870000006,100081.449,15.116,11/07/2020 00:00:00
450.998,8.552,145.612,0,36.735,15.173,3.517,87.126,0,90.966,-12.0727360000001,-77.0826870000006,100078.462,15.118,11/07/2020 01:00:00
309.73,1.478,138.693,0,41.098,17.877,1.646,107.51,0,90.886,-12.0727360000001,-77.0826870000006,100042.538,14.998,11/07/2020 02:00:00
304.437,0.977,148.596,0,41.177,17.596,0.618,90.566,0,91.199,-12.0727360000001,-77.0826870000006,100034.483,14.821,11/07/2020 03:00:00
325.318,0.01,161.265,0,50.45,26.53,0.31,84.243,0,94.084,-12.0727360000001,-77.0826870000006,100042.048,14.419,11/07/2020 04:00:00
385.915,1.091,163.119,0,46.249,23.744,2.282,86.847,0,94.575,-12.0727360000001,-77.0826870000006,100037.233,14.339,11/07/2020 05:00:00
581.946,6.955,176.438,0,41.58,19.131,7.157,91.827,0,96.323,-12.0727360000001,-77.0826870000006,100028.006,14.211,11/07/2020 06:00:00
1135.936,36.953,189.98,0,41.509,18.042,24.917,100.536,0,96.214,-12.0727360000001,-77.0826870000006,100034.566,14.362,11/07/2020 07:00:00
1492.315,58.176,181.427,0,41.344,15.264,35.321,100.64,0.031,93.281,-12.0727360000001,-77.0826870000006,100065.484,14.681,11/07/2020 08:00:00
1493.672,62.79,163.108,0,37.895,13.166,38.428,103.811,0.237,89.021,-12.0727360000001,-77.0826870000006,100122.149,15.175,11/07/2020 09:00:00
1611.363,77.756,142.241,0,36.232,12.544,43.242,105.659,0.382,86.196,-12.0727360000001,-77.0826870000006,100149.878,15.703,11/07/2020 10:00:00
1530.73,85.166,118.504,0,37.383,12.773,43.313,106.765,0.728,81.984,-12.0727360000001,-77.0826870000006,100127.86,16.442,11/07/2020 11:00:00
1319.958,76.921,67.897,7.428,32.196,11.987,35.995,105.695,1.785,75.913,-12.0727360000001,-77.0826870000006,100082.186,17.762,11/07/2020 12:00:00
1256.485,78.648,8.008,123.002,30.896,12.353,47.837,106.929,6.728,67.902,-12.0727360000001,-77.0826870000005,100004.817,19.871,11/07/2020 13:00:00
1386.135,71.964,0.182,173.526,19.006,7.692,39.092,106.338,7.179,64.296,-12.0727360000001,-77.0826870000005,99905.079,20.635,11/07/2020 14:00:00
1416.556,62.223,1.58,182.07,18.487,8.584,17.013,107.601,6.724,65.971,-12.0727360000001,-77.0826870000005,99865.879,20.278,11/07/2020 15:00:00
1385.094,59.849,9.403,153.7,19.825,8.765,8.21,105.383,5.781,69.166,-12.0727360000001,-77.0826870000006,99829.953,19.488,11/07/2020 16:00:00
1203.51,55.767,16.261,144.933,20.718,8.993,3.67,105.726,5.141,72.007,-12.0727360000001,-77.0826870000005,99818.23,18.59,11/07/2020 17:00:00
1021.65,33.126,111.128,28.167,25.486,9.843,1.827,106.077,0.896,82.933,-12.0727360000001,-77.0826870000006,99836.732,16.155,11/07/2020 18:00:00
799.933,19.452,185.442,0,40.399,13.926,0.901,101.772,0,89.563,-12.0727360000001,-77.0826870000005,99875.208,15.235,11/07/2020 19:00:00
