CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (hPa),Temperatura (C),Fecha
0,0,51.206,0,0,0,0,63.281,0,86.873,-12.0402780000002,-77.0436090000003,99992.805,22.953,19/03/2020 00:00:00
0,0,47.134,0,0,0,0,62.838,0,87.23,-12.0402780000002,-77.0436090000003,99970.005,22.865,19/03/2020 01:00:00
0,0,43.944,0,0,0,0,60.89,0,88.178,-12.0402780000002,-77.0436090000003,99906.691,22.801,19/03/2020 02:00:00
0,0,50.415,0,0,0,0,61.408,0,92.527,-12.0402780000002,-77.0436090000003,99868.091,22.386,19/03/2020 03:00:00
0,0,49.465,0,0,0,0,61.079,0,94.075,-12.0402780000002,-77.0436090000003,99851.63,22.103,19/03/2020 04:00:00
0,0,44.724,0,0,0,0,61.084,0,93.461,-12.0402780000002,-77.0436090000003,99843.838,22.076,19/03/2020 05:00:00
0,0,47.22,0,0,0,0,63.198,0,94.083,-12.0402780000002,-77.0436090000003,99873.084,21.924,19/03/2020 06:00:00
5.074,0,46.638,0,0,0,0,64.332,0.006,93.024,-12.0402780000002,-77.0436090000003,99936.697,22.091,19/03/2020 07:00:00
92.246,1.957,36.91,0.003,0,0,9.084,65.033,0.191,90.012,-12.0402780000002,-77.0436090000003,100023.429,22.675,19/03/2020 08:00:00
13.211,7.873,8.04,9.3,0,0,47.858,64.857,0.459,79.125,-12.0402780000002,-77.0436090000003,100056.858,25.13,19/03/2020 09:00:00
22.448,7.571,2.194,36.766,0,0,42.068,67.723,0.206,73.513,-12.0402780000002,-77.0436090000003,100052.496,26.165,19/03/2020 10:00:00
85.955,6.419,5.592,37.213,0,0,62.779,69.205,0.355,72.629,-12.0402780000002,-77.0436090000003,100056.671,26.106,19/03/2020 11:00:00
113.063,2.403,6.442,45.783,0,0,66.986,71.146,1.671,72.362,-12.0402780000002,-77.0436090000003,100040.081,26.29,19/03/2020 12:00:00
26.083,6.518,1.733,73.511,0,0,78.426,71.111,4.288,71.092,-12.0402780000002,-77.0436090000003,99981.702,26.8,19/03/2020 13:00:00
25.646,7.124,1.474,80.281,0,0,91.137,70.154,5.212,70.542,-12.0402780000002,-77.0436090000003,99913.067,26.963,19/03/2020 14:00:00
63.789,4.684,4.133,70.512,0,0,78.197,71.274,5.054,71.713,-12.0402780000002,-77.0436090000003,99846.146,26.537,19/03/2020 15:00:00
49.955,9.308,3.741,76.564,0,0,64.415,70.836,4.42,71.815,-12.0402780000002,-77.0436090000003,99834.082,26.526,19/03/2020 16:00:00
46.031,0.13,17.697,67.322,0,0,4.619,68.92,2.538,73.509,-12.0402780000002,-77.0436090000003,99815.007,26.085,19/03/2020 17:00:00
41.181,0,51.87,29.393,0,0,0,65.957,0.467,75.892,-12.0402780000002,-77.0436090000003,99808.547,25.19,19/03/2020 18:00:00
26.932,0,67.009,4.627,0,0,0,65.945,0.041,80.107,-12.0402780000002,-77.0436090000003,99852.958,24.065,19/03/2020 19:00:00
6.085,0,65.949,0.003,0,0,0,67.4,0,83.605,-12.0402780000002,-77.0436090000003,99908.678,23.4,19/03/2020 20:00:00
0,0,54.91,0,0,0,0,63.996,0,83.079,-12.0402780000002,-77.0436090000003,99931.036,23.271,19/03/2020 21:00:00
0,0,48.634,0,0,0,0,65.758,0,82.526,-12.0402780000002,-77.0436090000003,99971.943,23.189,19/03/2020 22:00:00
0,0,50.302,0,0,0,0,64.468,0,84.896,-12.0402780000002,-77.0436090000003,99999.472,22.985,19/03/2020 23:00:00
0,0,54.469,0,0,0,0,63.824,0,91.057,-12.0402780000002,-77.0436090000003,99983.407,22.385,20/03/2020 00:00:00
0,0,51.347,0,0,0,0,63.559,0,93.814,-12.0402780000002,-77.0436090000003,99970.71,21.885,20/03/2020 01:00:00
0,0,50.704,0,0,0,0,64.237,0,93.586,-12.0402780000002,-77.0436090000003,99933.947,21.889,20/03/2020 02:00:00
0,0,47.808,0,0,0,0,62.629,0,93.927,-12.0402780000002,-77.0436090000003,99905.628,21.795,20/03/2020 03:00:00
0,0,46.348,0,0,0,0,63.171,0,94.828,-12.0402780000002,-77.0436090000003,99878.026,21.625,20/03/2020 04:00:00
1.792,0,47.264,0,0,0,0.828,63.542,0,95.895,-12.0402780000002,-77.0436090000003,99886.987,21.705,20/03/2020 05:00:00
7.159,0,46.144,0,0,0,0.327,64.804,0,95.378,-12.0402780000002,-77.0436090000003,99914.131,22.138,20/03/2020 06:00:00
71.823,0.168,46.422,0,0,0,0.605,66.561,0.043,93.721,-12.0402780000002,-77.0436090000003,99941.728,22.401,20/03/2020 07:00:00
128.237,2.31,36.257,0,0,0,8.328,65.523,0.292,91.802,-12.0402780000002,-77.0436090000003,99985.129,22.858,20/03/2020 08:00:00
50.65,0.842,15.608,2.844,0,0,4.309,65.341,0.571,85.214,-12.0402780000002,-77.0436090000003,100025.118,24.112,20/03/2020 09:00:00
32.294,2.23,1.709,26.994,0,0,6.627,65.217,0.923,76.151,-12.0402780000002,-77.0436090000003,100028.17,26.03,20/03/2020 10:00:00
130.164,8.909,0.131,70.644,0,0,69.193,66.16,1.56,68.908,-12.0402780000002,-77.0436090000003,99987.359,27.51,20/03/2020 11:00:00
192.757,19.861,0.495,114.231,0,0,65.396,67.372,2.2,67.389,-12.0402780000002,-77.0436090000003,99926.626,28.044,20/03/2020 12:00:00
77.547,5.736,0.754,115.437,0,0,77.971,68.263,3.656,65.082,-12.0402780000002,-77.0436090000003,99823.698,28.341,20/03/2020 13:00:00
92.297,1.514,12.295,108.087,0,0,42.356,70.904,4.613,68.229,-12.0402780000002,-77.0436090000003,99752.62,27.74,20/03/2020 14:00:00
129.881,3.704,32.834,61.626,0,0,14.449,71.542,4.211,80.833,-12.0402780000002,-77.0436090000003,99775.109,24.876,20/03/2020 15:00:00
20.19,2.887,17.976,41.53,0,0,19.116,67.373,2.337,77.328,-12.0402780000002,-77.0436090000003,99761.886,25.437,20/03/2020 16:00:00
74.656,0.043,43.051,27.856,0,0,0.941,66.535,1.217,81.154,-12.0402780000002,-77.0436090000003,99773.977,24.633,20/03/2020 17:00:00
48.399,0,47.908,4.429,0,0,0,64.793,1.254,81.546,-12.0402780000002,-77.0436090000003,99820.508,24.518,20/03/2020 18:00:00
29.157,0,55.823,1.38,0,0,0,63.688,0.078,79.777,-12.0402780000002,-77.0436090000003,99886.145,24.584,20/03/2020 19:00:00
14.246,0,54.705,0,0,0,0,63.72,0,78.964,-12.0402780000002,-77.0436090000003,99954.431,24.609,20/03/2020 20:00:00
0,0,62.184,0,0,0,0,63.99,0,89.861,-12.0402780000002,-77.0436090000003,100021.897,22.878,20/03/2020 21:00:00
0,0,61.032,0,0,0,0,64.692,0,92.765,-12.0402780000002,-77.0436090000003,100093.576,22.368,20/03/2020 22:00:00
0,0,41.864,0,0,0,0,62.78,0,86.276,-12.0402780000002,-77.0436090000003,100092.044,23.401,20/03/2020 23:00:00
0,0,39.944,0,0,0,0,62.843,0,86.476,-12.0402780000002,-77.0436090000003,100069.175,23.279,21/03/2020 00:00:00
0,0,42.832,0,0,0,0,62.348,0,88.378,-12.0402780000002,-77.0436090000003,100037.186,22.951,21/03/2020 01:00:00
0,0,41.752,0,0,0,0,62.422,0,88.214,-12.0402780000002,-77.0436090000003,99978.582,22.96,21/03/2020 02:00:00
0,0,39.849,0,0,0,0,62.379,0,86.795,-12.0402780000002,-77.0436090000003,99899.566,23.202,21/03/2020 03:00:00
2.894,0,40.986,0,0,0,0.641,62.383,0,86.329,-12.0402780000002,-77.0436090000003,99847.636,23.377,21/03/2020 04:00:00
0.851,0,47.756,0,0,0,0,62.926,0,91.588,-12.0402780000002,-77.0436090000003,99828.567,22.479,21/03/2020 05:00:00
0,0,43.014,0,0,0,0,64.158,0,86.439,-12.0402780000002,-77.0436090000003,99813.834,22.894,21/03/2020 06:00:00
9.771,0,45.947,0,0,0,0,65.039,0,85.79,-12.0402780000002,-77.0436090000003,99844.983,23.039,21/03/2020 07:00:00
107.099,2.642,31.626,0.062,0,0,3.657,64.37,0.067,78.651,-12.0402780000002,-77.0436090000003,99914.017,24.519,21/03/2020 08:00:00
2.071,9.136,0.695,26.391,0,0,88.037,65.314,0.19,63.651,-12.0402780000002,-77.0436090000003,99959.435,27.702,21/03/2020 09:00:00
1.122,9.238,0,113.265,0,0,149.185,65.94,0.201,52.239,-12.0402780000002,-77.0436090000003,99934.933,30.809,21/03/2020 10:00:00
34.153,9.579,0.06,168.522,0,0,45.443,69.656,0.352,55.053,-12.0402780000002,-77.0436090000003,99883.168,30.287,21/03/2020 11:00:00
70.419,2.715,6.217,112.967,0,0,23.926,70.447,1.692,59.02,-12.0402780000002,-77.0436090000003,99842.742,28.868,21/03/2020 12:00:00
28.108,7.859,0.35,114.476,0,0,101.757,70.304,4.186,56.234,-12.0402780000002,-77.0436090000003,99783.782,29.299,21/03/2020 13:00:00
63.816,7.947,0.277,112.604,0,0,103.553,70.097,4.996,57.571,-12.0402780000002,-77.0436090000003,99747.929,28.839,21/03/2020 14:00:00
94.331,15.692,0.408,114.4,0,0,75.337,70.689,5.006,58.517,-12.0402780000002,-77.0436090000003,99728.089,28.494,21/03/2020 15:00:00
54.589,5.604,5.487,103.005,0,0,45.51,71.105,3.918,64.035,-12.0402780000002,-77.0436090000003,99756.436,27.425,21/03/2020 16:00:00
