CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (hPa),Temperatura (C),Fecha
0,73.763,64.743,41.805,19.087,6.257,0,51.953,0,90.681,-12.1030559999999,-76.9891659999995,99630.213,22.369,19/03/2020 00:00:00
0,66.851,66.535,41.552,18.264,6.159,0,52.088,0,90.947,-12.1030559999999,-76.9891659999995,99609.317,22.285,19/03/2020 01:00:00
0,61.008,65.892,41.56,17.617,6.255,0,51.2,0,92.769,-12.1030559999999,-76.9891659999995,99544.585,22.167,19/03/2020 02:00:00
0,59.991,72.62,41.309,19.173,6.507,0,50.994,0,95.273,-12.1030559999999,-76.9891659999995,99503.065,21.886,19/03/2020 03:00:00
0,54.586,75.041,41.127,14.806,5.618,0,51.141,0,95.944,-12.1030559999999,-76.9891659999995,99487.252,21.706,19/03/2020 04:00:00
0,49.082,72.256,41.165,11.826,5.275,0,50.876,0,96.156,-12.1030559999999,-76.9891659999995,99479.985,21.693,19/03/2020 05:00:00
0.077,49.5,74.826,41.021,11.979,5.438,0,51.68,0,96.196,-12.1030559999999,-76.9891659999995,99509.525,21.573,19/03/2020 06:00:00
1.231,48.643,76.579,41.022,9.935,4.6,0,53.771,0,96.13,-12.1030559999999,-76.9891659999995,99573.023,21.607,19/03/2020 07:00:00
9.598,34.387,30.63,43.314,7.929,3.555,0,57.556,0.861,90.012,-12.1030559999999,-76.9891659999995,99655.643,23.068,19/03/2020 08:00:00
5.646,3.359,333.846,45.823,9.171,3.908,0,56.62,1.338,76.181,-12.1030559999999,-76.9891659999995,99691.467,26.165,19/03/2020 09:00:00
21.157,0.603,28.526,53.214,9.438,3.839,5.02,60.178,1.344,68.395,-12.1030559999999,-76.9891659999995,99682.07,28.043,19/03/2020 10:00:00
7.122,0.428,6.628,56.595,9.475,3.567,0,58.636,1.514,65.057,-12.1030559999999,-76.9891659999995,99674.872,28.694,19/03/2020 11:00:00
0.154,1.722,0,56.62,9.143,3.372,0,60.919,1.707,66.162,-12.1030559999999,-76.9891659999995,99660.628,28.368,19/03/2020 12:00:00
0.089,0.236,17.881,55.511,8.191,3.107,0,59.878,2.204,67.763,-12.1030559999999,-76.9891659999995,99605.731,27.797,19/03/2020 13:00:00
2.089,0.194,0,58.753,9.015,3.212,0.079,60.27,3.164,65.818,-12.1030559999999,-76.9891659999995,99534.902,28.492,19/03/2020 14:00:00
15.797,3.326,0,58.265,9.713,3.423,0.063,61.747,3.5,70.124,-12.1030559999999,-76.9891659999995,99472.379,27.25,19/03/2020 15:00:00
7.929,26.511,0,58.349,12.5,4.11,0.887,61.414,3.495,71.868,-12.1030559999999,-76.9891659999995,99463.541,26.76,19/03/2020 16:00:00
20.283,38.598,0,56.512,15.362,4.587,0.973,59.695,2.954,74.097,-12.1030559999999,-76.9891659999995,99443.953,25.954,19/03/2020 17:00:00
5.187,108.052,0,51.388,17.558,5.041,0.406,57.738,1.074,76.055,-12.1030559999999,-76.9891659999995,99433.181,25.133,19/03/2020 18:00:00
1.92,163.628,29.919,44.447,16.453,5.182,0,55.591,0,82.073,-12.1030559999999,-76.9891659999995,99482.435,23.698,19/03/2020 19:00:00
2.347,132.346,61.279,42.71,17.111,5.857,0,59.522,0,85.795,-12.1030559999999,-76.9891659999995,99537.051,23.03,19/03/2020 20:00:00
0,100.34,55.872,42.606,12.443,4.747,0,53.988,0,85.335,-12.1030559999999,-76.9891659999995,99563.277,23.061,19/03/2020 21:00:00
0,84.4,56.519,42.219,14.919,5.246,0,52.917,0,86.127,-12.1030559999999,-76.9891659999995,99608.189,22.843,19/03/2020 22:00:00
0,78.791,64.35,41.834,21.943,7.456,0,52.639,0,89.279,-12.1030559999999,-76.9891659999995,99632.737,22.45,19/03/2020 23:00:00
0,81.298,85.925,40.933,18.582,7.166,0,51.407,0,95.111,-12.1030559999999,-76.9891659999995,99614.849,21.752,20/03/2020 00:00:00
0,69.142,86.171,40.674,16.794,6.642,0,51.242,0,96.2,-12.1030559999999,-76.9891659999995,99607.335,21.393,20/03/2020 01:00:00
0,57.265,80.383,40.712,16.368,6.523,0,51.046,0,96.183,-12.1030559999999,-76.9891659999995,99567.634,21.457,20/03/2020 02:00:00
0,51.241,72.482,40.905,15.764,6.046,0,51.092,0,95.441,-12.1030559999999,-76.9891659999995,99536.81,21.748,20/03/2020 03:00:00
0,47.784,66.028,41.167,14.977,5.44,0,50.944,0,94.342,-12.1030559999999,-76.9891659999995,99504.404,21.927,20/03/2020 04:00:00
2.634,47.785,65.206,41.168,9.991,3.886,0,51.032,0,93.541,-12.1030559999999,-76.9891659999995,99510.875,22.011,20/03/2020 05:00:00
0,48.931,66.875,41.296,7.294,3.188,0,52.711,0,94.518,-12.1030559999999,-76.9891659999995,99543.163,21.958,20/03/2020 06:00:00
20.087,47.728,62.569,41.683,7.413,3.061,0,56.362,0.003,94.697,-12.1030559999999,-76.9891659999995,99575.104,22.198,20/03/2020 07:00:00
22.849,38.578,23.945,43.484,5.763,2.396,0,58.167,0.618,90.958,-12.1030559999999,-76.9891659999995,99615.738,23.157,20/03/2020 08:00:00
0.243,16.921,0,46.284,7.601,2.863,0,55.686,0.938,83.886,-12.1030559999999,-76.9891659999995,99654.064,24.605,20/03/2020 09:00:00
5.769,1.951,0,50.404,6.793,2.368,0,60.081,2.022,76.718,-12.1030559999999,-76.9891659999995,99655.252,26.092,20/03/2020 10:00:00
3.265,0,1230.768,40.107,9.411,2.979,0,56.719,2.737,67.229,-12.1030559999999,-76.9891659999995,99616.399,28.056,20/03/2020 11:00:00
12.012,5.837,1013.409,38.139,5.776,2.014,0,60.219,3.339,66.385,-12.1030559999999,-76.9891659999995,99552.82,28.821,20/03/2020 12:00:00
5.201,0.077,563.507,48.791,5.561,1.826,0,60.03,2.72,61.042,-12.1030559999999,-76.9891659999995,99456.24,29.918,20/03/2020 13:00:00
