CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (hPa),Temperatura (C),Fecha
830.13,0,35.084,15.685,18.798,6.541,0,58.673,0,82.78,-12.0438889999999,-77.0505520000005,99903.68,23.247,19/03/2020 00:00:00
807.959,0,30.785,16.769,19.669,6.721,0,56.803,0,83.85,-12.0438889999999,-77.0505520000005,99885.945,23.035,19/03/2020 01:00:00
791.832,0,26.831,16.948,19.213,6.693,0,54.482,0,84.166,-12.0438889999999,-77.0505520000005,99819.805,23.095,19/03/2020 02:00:00
780.794,0,30.957,16.84,28.528,7.899,0,53.179,0,87.351,-12.0438889999999,-77.0505520000005,99778.818,22.744,19/03/2020 03:00:00
776.131,0,33.262,15.386,15.804,5.716,0,53.8,0,90.271,-12.0438889999999,-77.0505520000005,99765.298,22.367,19/03/2020 04:00:00
762.134,0,29.535,15.828,14.664,5.844,0,55.121,0,90.423,-12.0438889999999,-77.0505520000005,99759.096,22.175,19/03/2020 05:00:00
884.685,1.409,35.451,10.251,13.348,5.69,0,59.073,0,91.03,-12.0438889999999,-77.0505520000005,99787.983,22.069,19/03/2020 06:00:00
889.515,0.066,32.317,11.743,11.341,4.765,0,60.165,0.203,90.768,-12.0438889999999,-77.0505520000005,99850.183,22.039,19/03/2020 07:00:00
728.133,17.888,6.321,36.221,8.472,3.726,11.887,62.247,3.192,85.911,-12.0438889999999,-77.0505520000005,99930.492,23.14,19/03/2020 08:00:00
385.234,29.36,0,111.511,9.39,3.929,37.728,61.127,6.517,73.595,-12.0438889999999,-77.0505520000005,99959.163,26.054,19/03/2020 09:00:00
147.306,22.011,0,200.468,8.254,3.001,1.279,62.095,6.89,65.683,-12.0438889999999,-77.0505520000005,99952.721,27.741,19/03/2020 10:00:00
414.346,13.084,0,183.27,8.24,3.35,0,62.778,7.578,65.246,-12.0438889999999,-77.0505520000005,99957.081,27.639,19/03/2020 11:00:00
671.4,3.926,0,155.922,9.167,3.5,0,64.031,7.336,66.018,-12.0438889999999,-77.0505520000005,99940.606,27.501,19/03/2020 12:00:00
608.043,31.713,0,177.863,9.394,3.585,0,65.339,8.303,63.427,-12.0438889999999,-77.0505520000005,99885.542,28.342,19/03/2020 13:00:00
753.541,36.543,0,163.908,10.334,3.735,0,65.302,5.358,63.561,-12.0438889999999,-77.0505520000005,99817.352,28.436,19/03/2020 14:00:00
691.94,39.591,0,147.585,10.379,3.768,0,65.889,0.617,63.588,-12.0438889999999,-77.0505520000005,99755.868,28.359,19/03/2020 15:00:00
790.291,38.547,0,107.762,13.744,4.445,0,64.896,1.029,61.286,-12.0438889999999,-77.0505520000005,99748.076,28.947,19/03/2020 16:00:00
883.746,30.85,16.882,83.052,14.853,4.636,0,63.162,0.653,67.759,-12.0438889999999,-77.0505520000005,99725.34,27.099,19/03/2020 17:00:00
1086.763,33.962,47.18,45.085,17.569,5.374,0,61.513,0.197,72.305,-12.0438889999999,-77.0505520000005,99720.21,25.567,19/03/2020 18:00:00
1197.697,26.801,64.739,20.67,15.172,5.326,0,62.404,0,77.69,-12.0438889999999,-77.0505520000005,99767.09,24.154,19/03/2020 19:00:00
1265.453,36.121,59.402,12.235,13.964,5.086,0,61.131,0,79.555,-12.0438889999999,-77.0505520000005,99824.794,23.748,19/03/2020 20:00:00
1053.988,34.103,43.154,16.405,13.737,4.871,0,58.801,0,79.724,-12.0438889999999,-77.0505520000005,99847.805,23.534,19/03/2020 21:00:00
965.033,31.222,36.383,17.253,14.706,5.204,0,57.769,0,79.435,-12.0438889999999,-77.0505520000005,99884.56,23.474,19/03/2020 22:00:00
902.908,25.307,34.432,17.544,20.751,6.874,0,56.866,0,81.347,-12.0438889999999,-77.0505520000005,99911.971,23.182,19/03/2020 23:00:00
927.612,19.287,40.719,15.082,22.892,7.422,0,57.889,0,87.112,-12.0438889999999,-77.0505520000005,99895.446,22.581,20/03/2020 00:00:00
911.616,22.616,38.967,12.741,17.204,6.632,0,55.325,0,90.936,-12.0438889999999,-77.0505520000005,99885.633,22.031,20/03/2020 01:00:00
876.423,29.01,34.076,9.949,18.975,6.643,0,57.183,0,90.546,-12.0438889999999,-77.0505520000005,99850.107,21.992,20/03/2020 02:00:00
853.273,27.138,29.293,11.304,22.028,6.844,0,55.478,0,90.593,-12.0438889999999,-77.0505520000005,99821.369,21.982,20/03/2020 03:00:00
835.407,26.773,25.558,12.833,6.555,2.715,0,56.925,0,90.675,-12.0438889999999,-77.0505520000005,99791.11,21.971,20/03/2020 04:00:00
807.664,21.557,26.557,14.756,5.818,2.935,0,57.347,0,91.954,-12.0438889999999,-77.0505520000005,99799.892,22.007,20/03/2020 05:00:00
848.093,21.915,29.358,14.259,7.488,3.08,0,59.998,0,92.918,-12.0438889999999,-77.0505520000005,99825.988,22.147,20/03/2020 06:00:00
1055.992,37.8,26.818,12.396,16.281,4.822,0.013,61.406,0,90.321,-12.0438889999999,-77.0505520000005,99854.877,22.608,20/03/2020 07:00:00
992.693,36.976,14.598,20.64,12.678,4.089,0.042,61.174,0.386,88.539,-12.0438889999999,-77.0505520000005,99898.576,23.082,20/03/2020 08:00:00
931.266,59.803,0.005,45.289,11.07,3.453,0.781,60.839,1.238,80.865,-12.0438889999999,-77.0505520000005,99937.497,24.627,20/03/2020 09:00:00
801.452,55.386,0,74.079,12.881,3.352,1.061,61.235,1.56,75.133,-12.0438889999999,-77.0505520000005,99940.513,25.829,20/03/2020 10:00:00
572.772,54.637,0,114.514,17.145,4.13,0.721,61.353,3.274,65.915,-12.0438889999999,-77.0505520000005,99900.225,27.736,20/03/2020 11:00:00
426.2,38.696,0,193.102,10.303,3.203,0,62.087,4.763,61.734,-12.0438889999999,-77.0505520000005,99837.948,29.086,20/03/2020 12:00:00
166.585,56.808,0,289.594,12.093,3.593,0.001,62.077,8.047,56.391,-12.0438889999999,-77.0505520000005,99732.323,30.648,20/03/2020 13:00:00
440.673,42.221,0,241.382,9.423,2.402,0,62.14,4.933,58.453,-12.0438889999999,-77.0505520000005,99660.855,30.119,20/03/2020 14:00:00
859.427,35.117,3.976,149.361,5.837,2.376,0,67.635,1.393,68.37,-12.0438889999999,-77.0505520000005,99679.468,27.468,20/03/2020 15:00:00
1043.926,48.58,6.463,88.308,10.805,4.032,0,62.306,1.838,68.948,-12.0438889999999,-77.0505520000005,99670.521,27.087,20/03/2020 16:00:00
