CO (ug/m3),H2S (ug/m3),NO2 (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Ruido (dB),UV,Humedad (%),Latitud,Longitud,Presion (hPa),Temperatura (C),Fecha
16.264,5.769,49.683,10.032,27.45,9.3,0,64.472,0,81.149,-12.0588889999999,-77.0719450000014,99503.202,23.205,19/03/2020 00:00:00
7.41,8.37,49.371,9.558,26.459,9.135,0,63.085,0,82.883,-12.0588889999999,-77.0719450000015,99481.447,22.899,19/03/2020 01:00:00
16.241,16.3,48.8,8.998,23.409,9.275,0,63.563,0,82.375,-12.0588889999999,-77.0719450000014,99414.578,22.969,19/03/2020 02:00:00
3.287,6.74,49.105,9.352,22.305,8.911,0,63.577,0,85.091,-12.0588889999999,-77.0719450000014,99375.238,22.76,19/03/2020 03:00:00
10.967,7.61,49.368,9.343,23.428,8.522,0,62.851,0,87.552,-12.0588889999999,-77.0719450000014,99357.215,22.367,19/03/2020 04:00:00
20.395,9.213,49.634,9.374,23.742,8.951,0,65.666,0,88.475,-12.0588889999999,-77.0719450000014,99348.506,22.116,19/03/2020 05:00:00
202.278,21.691,50.472,9.584,36.611,10.489,0,71.937,0,89.472,-12.0588889999999,-77.0719450000014,99376.344,22.009,19/03/2020 06:00:00
534.381,42.626,50.907,9.447,32.238,9.729,0.021,73.589,0.021,88.913,-12.0588889999999,-77.0719450000015,99440.348,22.13,19/03/2020 07:00:00
709.695,88.276,48.914,7.689,27.716,6.909,0,74.621,0.372,82.283,-12.0588889999999,-77.0719450000014,99522.635,23.621,19/03/2020 08:00:00
484.965,122.724,44.125,5.901,29.295,7.303,0,73.533,0.587,70.02,-12.0588889999999,-77.0719450000015,99556.149,26.623,19/03/2020 09:00:00
218.785,106.161,42.706,7.489,29.963,7.091,0,74.786,1.112,61.635,-12.0588889999999,-77.0719450000014,99545.93,28.768,19/03/2020 10:00:00
143.273,86.4,41.349,8.589,33.2,6.167,0,74.466,3.668,59.191,-12.0588889999999,-77.0719450000014,99542.552,29.367,19/03/2020 11:00:00
158.694,85.628,37.874,8.896,39.917,6.465,0,75.153,4.63,57.329,-12.0588889999999,-77.0719450000015,99528.528,29.616,19/03/2020 12:00:00
288.532,94.897,34.161,8.971,30.037,5.946,0.044,75.708,5.382,55.35,-12.0588889999999,-77.0719450000014,99471.161,30.471,19/03/2020 13:00:00
186.396,71.932,30.587,8.742,29.813,6.304,0.004,75.223,5.077,55.176,-12.0588889999999,-77.0719450000014,99402.372,30.749,19/03/2020 14:00:00
258.842,63.159,27.071,11.303,27.046,5.622,0,74.868,5.065,57.482,-12.0588889999999,-77.0719450000014,99340.904,30.08,19/03/2020 15:00:00
265.997,69.785,20.314,12.722,37.762,7.078,0,75.353,4.64,55.294,-12.0588889999999,-77.0719450000014,99331.103,30.689,19/03/2020 16:00:00
643.978,49.377,35.395,18.868,48.408,9.313,0.034,74.115,2.294,62.477,-12.0588889999999,-77.0719450000014,99318.374,28.166,19/03/2020 17:00:00
781.835,28.418,50.041,18.189,41.186,9.622,0,73.285,0.46,67.484,-12.0588889999999,-77.0719450000014,99312.203,26.401,19/03/2020 18:00:00
546.12,7.159,53.572,15.218,31.31,9.245,0,73.023,0,72.511,-12.0588889999999,-77.0719450000014,99356.349,25.011,19/03/2020 19:00:00
340.007,8.06,52.771,12.92,23.369,7.543,0,70.734,0,76.989,-12.0588889999999,-77.0719450000015,99415.387,23.887,19/03/2020 20:00:00
73.678,10.658,51.416,11.303,19.673,7.113,0,67.438,0,78.575,-12.0588889999999,-77.0719450000014,99439.821,23.532,19/03/2020 21:00:00
21.962,15.513,50.012,10.375,19.617,6.997,0,64.963,0,78.085,-12.0588889999999,-77.0719450000014,99481.55,23.447,19/03/2020 22:00:00
0.013,8.498,49.709,10.159,22.997,8.871,0,67.583,0,79.124,-12.0588889999999,-77.0719450000014,99504.222,23.266,19/03/2020 23:00:00
9.985,2.61,50.136,10.158,25.12,10.457,0,66.265,0,83.881,-12.0588889999999,-77.0719450000014,99485.755,22.812,20/03/2020 00:00:00
0.961,3.052,50.283,10.042,21.054,9.688,0,65.724,0,87.829,-12.0588889999999,-77.0719450000014,99473.801,22.172,20/03/2020 01:00:00
12.729,11.949,50.147,9.384,17.044,8.43,0,68.137,0,88.825,-12.0588889999999,-77.0719450000015,99437.736,21.907,20/03/2020 02:00:00
13.871,18.506,49.405,8.591,20.652,8.677,0,66.588,0,87.2,-12.0588889999999,-77.0719450000014,99405.618,22.261,20/03/2020 03:00:00
13.71,19.848,49.245,8.776,14.802,5.768,0,65.825,0,86.552,-12.0588889999999,-77.0719450000015,99376.204,22.425,20/03/2020 04:00:00
10.604,8.942,50.275,9.589,13.731,4.766,0,69.181,0,88.209,-12.0588889999999,-77.0719450000014,99383.683,22.155,20/03/2020 05:00:00
182.308,30.944,50.756,9.456,27.579,7.021,0,72.81,0,89.068,-12.0588889999999,-77.0719450000014,99411.713,22.309,20/03/2020 06:00:00
592.081,60.628,50.303,9.263,30.705,7.891,0.006,75.109,0.02,86.956,-12.0588889999999,-77.0719450000015,99444.352,22.599,20/03/2020 07:00:00
1109.196,87.746,49.673,8.689,35.445,7.91,0,74.772,0.283,82.512,-12.0588889999999,-77.0719450000014,99488.883,23.567,20/03/2020 08:00:00
575.747,91.981,47.599,7.819,26.955,7.458,0,74.459,0.751,76.116,-12.0588889999999,-77.0719450000014,99525.934,25.042,20/03/2020 09:00:00
462.145,72.274,46.613,8.299,27.409,6.444,0,74.035,0.92,72.812,-12.0588889999999,-77.0719450000014,99533.697,26.04,20/03/2020 10:00:00
280.841,85.761,42.814,5.852,40.951,7.724,0,74.523,1.654,64.225,-12.0588889999999,-77.0719450000014,99493.857,27.976,20/03/2020 11:00:00
410.008,102.653,39.255,7.904,52.938,7.62,0.051,74.535,2.528,57.843,-12.0588889999999,-77.0719450000015,99431.403,29.7,20/03/2020 12:00:00
358.238,99.307,33.682,8.274,89.381,11.326,0,75.653,5.267,51.793,-12.0588889999999,-77.0719450000015,99322.009,31.802,20/03/2020 13:00:00
321.928,76.088,34.792,12.669,31.453,5.072,0,76.199,4.347,52.957,-12.0588889999999,-77.0719450000014,99244.871,31.501,20/03/2020 14:00:00
258.582,73.674,27.248,8.89,14.161,4.012,0,75.472,5.55,56.358,-12.0588889999999,-77.0719450000014,99266.93,30.86,20/03/2020 15:00:00
713.634,125.176,32.742,15.988,29.247,6.779,0.741,75.119,2.709,59.757,-12.0588889999999,-77.0719450000014,99260.66,29.542,20/03/2020 16:00:00
684.52,42.197,46.641,16.801,36.489,8.247,0.003,73.984,1.002,64.733,-12.0588889999999,-77.0719450000014,99269.037,27.852,20/03/2020 17:00:00
966.738,44.165,49.961,13.275,32.837,8.045,0.022,74.011,0.78,68.596,-12.0588889999999,-77.0719450000014,99323.788,26.664,20/03/2020 18:00:00
569.071,21.029,51.159,13.501,21.741,6.285,0,72.347,0.034,71.544,-12.0588889999999,-77.0719450000014,99391.15,25.494,20/03/2020 19:00:00
523.97,34.752,50.527,11.047,29.419,9.641,0,71.436,0,70.757,-12.0588889999999,-77.0719450000014,99459.213,25.356,20/03/2020 20:00:00
123.38,15.226,50.094,10.821,31.426,12.116,0,67.779,0,74.045,-12.0588889999999,-77.0719450000014,99519.797,25.056,20/03/2020 21:00:00
52.272,4.339,50.787,10.777,20.504,8.547,0.043,68.329,0,81.94,-12.0588889999999,-77.0719450000015,99598.308,23.574,20/03/2020 22:00:00
5.816,25.183,49.339,8.891,20.751,8.554,0.025,66.941,0,78.534,-12.0588889999999,-77.0719450000014,99594.597,24.198,20/03/2020 23:00:00
2.495,21.336,48.415,9.021,25.721,9.709,0.017,66.458,0,78.039,-12.0588889999999,-77.0719450000014,99570.529,24.293,21/03/2020 00:00:00
1.477,16.183,48.33,8.955,21.638,8.78,0.017,64.429,0,79.13,-12.0588889999999,-77.0719450000014,99538.501,24.036,21/03/2020 01:00:00
